file,propeller,volume
"14x7-PERF.PE0","14x7: radius 7.00 in, 2 blades, hub radius 0.570 in","model 2.7893 in^3 with the bore cut; file quotes 2.8831 in^3"
"14x7E-PERF.PE0","14x7E: radius 7.00 in, 2 blades, hub radius 0.400 in","model 1.2095 in^3 with the bore cut; file quotes 1.2930 in^3"
"14x8-PERF.PE0","14x8: radius 7.00 in, 2 blades, hub radius 0.570 in","model 2.5177 in^3 with the bore cut; file quotes 2.6396 in^3"
"14x85E-PERF.PE0","14x8.5E: radius 7.00 in, 2 blades, hub radius 0.400 in","model 1.2163 in^3 with the bore cut; file quotes 1.3909 in^3"
"155x12-4-PERF.PE0","15.5x12-4: radius 7.75 in, 4 blades, hub radius 0.400 in","model 3.8577 in^3 with the bore cut; file quotes 3.9514 in^3"
"1575x13-3-PERF.PE0","15.75x13-3: radius 7.88 in, 3 blades, hub radius 0.700 in","model 4.0451 in^3 with the bore cut; file quotes 4.0708 in^3"
"15x10-PERF.PE0","15x10: radius 7.50 in, 2 blades, hub radius 0.620 in","model 3.1713 in^3 with the bore cut; file quotes 3.3588 in^3"
"15x10E-PERF.PE0","15x10E: radius 7.50 in, 2 blades, hub radius 0.500 in","model 1.5303 in^3 with the bore cut; file quotes 1.6292 in^3"
"15x11-PERF.PE0","15x11: radius 7.50 in, 2 blades, hub radius 0.620 in","model 3.1711 in^3 with the bore cut; file quotes 3.3671 in^3"
"15x12-PERF.PE0","15x12: radius 7.50 in, 2 blades, hub radius 0.620 in","model 3.1677 in^3 with the bore cut; file quotes 3.3723 in^3"
"15x12E-PERF.PE0","15x12E: radius 7.50 in, 2 blades, hub radius 0.000 in","model 0.5458 in^3 with the bore cut; file quotes 1.6131 in^3"
"15x135-3-PERF.PE0","15x13.5-3: radius 7.50 in, 3 blades, hub radius 0.740 in","model 3.2034 in^3 with the bore cut; file quotes 3.3330 in^3"
"15x4E-PERF.PE0","15x4E: radius 7.50 in, 2 blades, hub radius 0.500 in","model 1.5841 in^3 with the bore cut; file quotes 1.6678 in^3"
"15x4W-PERF.PE0","15x4W: radius 7.50 in, 2 blades, hub radius 0.570 in","model 2.3301 in^3 with the bore cut; file quotes 2.5799 in^3"
"15x55MR-PERF.PE0","15x5.5MR: radius 7.50 in, 2 blades, hub radius 0.400 in","model 1.2975 in^3 with the bore cut; file quotes 1.3563 in^3"
"15x6-PERF.PE0","15x6: radius 7.50 in, 2 blades, hub radius 0.620 in","model 2.6539 in^3 with the bore cut; file quotes 2.8058 in^3"
"15x6E-PERF.PE0","15x6E: radius 7.50 in, 2 blades, hub radius 0.500 in","model 1.5503 in^3 with the bore cut; file quotes 1.6432 in^3"
"15x7-PERF.PE0","15x7: radius 7.50 in, 2 blades, hub radius 0.620 in","model 2.6683 in^3 with the bore cut; file quotes 2.7983 in^3"
"15x7E-PERF.PE0","15x7E: radius 7.50 in, 2 blades, hub radius 0.500 in","model 1.5298 in^3 with the bore cut; file quotes 1.6276 in^3"
"15x8-PERF.PE0","15x8: radius 7.50 in, 2 blades, hub radius 0.620 in","model 3.1396 in^3 with the bore cut; file quotes 3.2842 in^3"
"15x8E-PERF.PE0","15x8E: radius 7.50 in, 2 blades, hub radius 0.500 in","model 1.5264 in^3 with the bore cut; file quotes 1.6284 in^3"
"16x10-PERF.PE0","16x10: radius 8.00 in, 2 blades, hub radius 0.620 in","model 3.6013 in^3 with the bore cut; file quotes 3.9362 in^3"
"16x10E-PERF.PE0","16x10E: radius 8.00 in, 2 blades, hub radius 0.500 in","model 1.7696 in^3 with the bore cut; file quotes 1.9106 in^3"
"16x12-PERF.PE0","16x12: radius 8.00 in, 2 blades, hub radius 0.620 in","model 3.5854 in^3 with the bore cut; file quotes 3.9040 in^3"
"16x12E-PERF.PE0","16x12E: radius 8.00 in, 2 blades, hub radius 0.500 in","model 1.7632 in^3 with the bore cut; file quotes 1.9256 in^3"
"16x13-PERF.PE0","16x13: radius 8.00 in, 2 blades, hub radius 0.620 in","model 3.6005 in^3 with the bore cut; file quotes 3.9579 in^3"
"16x14-PERF.PE0","16x14: radius 8.00 in, 2 blades, hub radius 0.620 in","model 3.6178 in^3 with the bore cut; file quotes 3.9598 in^3"
